t_s,q1_des_rad,dq1_des_rad_s,tau1_ff_Nm,q2_des_rad,dq2_des_rad_s,tau2_ff_Nm
0.000000,-0.296700,0.000000,-0.211281,-2.548193,-0.000000,7.829398
0.003123,-0.296819,-0.076134,0.567958,-2.547955,0.152267,9.172582
0.006245,-0.297075,-0.088147,0.616547,-2.547442,0.176294,10.778658
0.009368,-0.297400,-0.119868,0.610517,-2.546792,0.239736,12.149173
0.012491,-0.297864,-0.177038,0.518818,-2.545865,0.354075,13.245051
0.015613,-0.298523,-0.245321,0.598739,-2.544546,0.490642,14.349904
0.018736,-0.299408,-0.321275,0.504341,-2.542777,0.642550,15.255205
0.021859,-0.300543,-0.406035,0.531355,-2.540506,0.812070,16.118554
0.024981,-0.301956,-0.498920,0.396831,-2.537680,0.997839,16.751252
0.028104,-0.303669,-0.598272,0.392738,-2.534254,1.196545,17.336515
0.031227,-0.305700,-0.702449,0.226378,-2.530192,1.404898,17.676602
0.034350,-0.308062,-0.809891,0.187469,-2.525469,1.619781,17.941734
0.037472,-0.310763,-0.919988,-0.020002,-2.520068,1.839976,17.973469
0.040595,-0.313810,-1.031844,-0.088757,-2.513973,2.063689,17.970846
0.043718,-0.317214,-1.148348,-0.306900,-2.507165,2.296695,17.967294
0.046840,-0.320982,-1.265179,-0.310697,-2.499628,2.530358,17.964269
0.049963,-0.325116,-1.382229,-0.535519,-2.491361,2.764458,17.960827
0.053086,-0.329617,-1.500601,-0.554617,-2.482359,3.001202,17.957635
0.056208,-0.334490,-1.620351,-0.792735,-2.472613,3.240703,17.954127
0.059331,-0.339738,-1.741233,-0.821396,-2.462116,3.482467,17.950851
0.062454,-0.345367,-1.863513,-1.075850,-2.450859,3.727027,17.947297
0.065576,-0.351379,-1.987393,-1.118547,-2.438834,3.974786,17.943912
0.068699,-0.357781,-2.113021,-1.389580,-2.426030,4.226041,17.940278
0.071822,-0.364579,-2.240514,-1.446870,-2.412435,4.481028,17.936777
0.074944,-0.371778,-2.370119,-1.737008,-2.398038,4.740238,17.933043
0.078067,-0.379385,-2.501997,-1.810639,-2.382824,5.003993,17.929406
0.081190,-0.387407,-2.636412,-2.122084,-2.366778,5.272825,17.925546
0.084312,-0.395854,-2.773559,-2.214080,-2.349884,5.547118,17.921750
0.087435,-0.404734,-2.913763,-2.549881,-2.332125,5.827526,17.917735
0.090558,-0.414057,-3.057257,-2.662776,-2.313479,6.114514,17.913752
0.093680,-0.423833,-3.204436,-3.026661,-2.293926,6.408872,17.909547
0.096803,-0.434076,-3.355587,-3.163688,-2.273441,6.711174,17.905341
0.099926,-0.444797,-3.511197,-3.560389,-2.251998,7.022394,17.900904
0.103049,-0.456012,-3.671626,-3.725696,-2.229568,7.343252,17.896431
0.106171,-0.467736,-3.837480,-4.161289,-2.206120,7.674959,17.891710
0.109294,-0.479988,-4.009216,-4.360262,-2.181617,8.018432,17.886913
0.112417,-0.492786,-4.187603,-4.842596,-2.156021,8.375206,17.881842
0.115539,-0.506152,-4.373235,-5.082444,-2.129288,8.746469,17.876650
0.118662,-0.520111,-4.567103,-5.622140,-2.101370,9.134206,17.871146
0.121785,-0.534689,-4.769986,-5.912336,-2.072214,9.539972,17.865464
0.124907,-0.549918,-4.983191,-6.523183,-2.041758,9.966381,17.859417
0.128030,-0.565829,-5.207786,-6.877619,-2.009934,10.415572,17.853120
0.131153,-0.582463,-5.445538,-7.580738,-1.976668,10.891076,17.846385
0.134275,-0.599861,-5.697878,-8.016696,-1.941870,11.395756,17.839302
0.137398,-0.618074,-5.967257,-8.837107,-1.905444,11.934515,17.831673
0.140521,-0.637159,-6.255883,-9.387027,-1.867275,12.511766,17.823569
0.143643,-0.657180,-6.567239,-10.373068,-1.827232,13.134478,17.814761
0.146766,-0.678214,-6.904327,-11.071650,-1.785165,13.808654,17.805278
0.149889,-0.700340,-7.266725,-11.905639,-1.740913,14.533451,17.795047
0.153011,-0.723648,-7.661419,-12.459649,-1.694297,15.322839,17.783927
0.156134,-0.748245,-8.092332,-12.995792,-1.645103,16.184664,17.771761
0.159257,-0.774253,-8.565454,-13.265435,-1.593086,17.130908,17.758436
0.162379,-0.801814,-9.086659,-13.471425,-1.537964,18.173317,17.743737
0.165502,-0.831088,-9.662460,-13.284307,-1.479417,19.324920,17.727501
0.168625,-0.862252,-10.297500,-12.974678,-1.417088,20.594999,17.555809
0.171748,-0.895511,-11.003740,-12.591198,-1.350571,22.007480,17.139687
0.174870,-0.931096,-11.787893,-12.247484,-1.279400,23.575786,16.235665
0.177993,-0.969219,-12.628558,-11.837251,-1.203155,25.257115,14.177773
0.181116,-1.009924,-13.442228,-11.440187,-1.121745,26.884456,9.528143
0.184238,-1.052840,-14.044268,-11.146395,-1.035913,28.088535,0.157681
