t,q1_des,q2_des,dq1_des,dq2_des
0.000000,-0.273717,-2.549449,-0.000000,0.000000
0.010000,-0.273763,-2.548957,-0.009114,0.098432
0.020000,-0.273898,-2.547481,-0.017850,0.196767
0.030000,-0.274118,-2.545022,-0.026207,0.294907
0.040000,-0.274421,-2.541584,-0.034183,0.392757
0.050000,-0.274801,-2.537168,-0.041776,0.490219
0.060000,-0.275255,-2.531781,-0.048988,0.587197
0.070000,-0.275779,-2.525426,-0.055816,0.683595
0.080000,-0.276370,-2.518111,-0.062261,0.779320
0.090000,-0.277023,-2.509843,-0.068324,0.874275
0.100000,-0.277735,-2.500629,-0.074006,0.968367
0.110000,-0.278502,-2.490478,-0.079308,1.061503
0.120000,-0.279320,-2.479402,-0.084231,1.153593
0.130000,-0.280185,-2.467410,-0.088778,1.244543
0.140000,-0.281094,-2.454515,-0.092952,1.334266
0.150000,-0.282043,-2.440729,-0.096755,1.422671
0.160000,-0.283028,-2.426067,-0.100190,1.509673
0.170000,-0.284046,-2.410541,-0.103261,1.595185
0.180000,-0.285092,-2.394168,-0.105973,1.679123
0.190000,-0.286164,-2.376964,-0.108329,1.761403
0.200000,-0.287258,-2.358946,-0.110334,1.841946
0.210000,-0.288369,-2.340131,-0.111994,1.920670
0.220000,-0.289496,-2.320539,-0.113313,1.997499
0.230000,-0.290635,-2.300188,-0.114297,2.072357
0.240000,-0.291781,-2.279098,-0.114953,2.145170
0.250000,-0.292933,-2.257291,-0.115286,2.215866
0.260000,-0.294086,-2.234788,-0.115304,2.284375
0.270000,-0.295238,-2.211611,-0.115013,2.350629
0.280000,-0.296385,-2.187784,-0.114420,2.414564
0.290000,-0.297525,-2.163328,-0.113533,2.476116
0.300000,-0.298655,-2.138269,-0.112361,2.535224
0.310000,-0.299771,-2.112632,-0.110909,2.591831
0.320000,-0.300872,-2.086441,-0.109188,2.645879
0.330000,-0.301954,-2.059723,-0.107205,2.697317
0.340000,-0.303015,-2.032504,-0.104970,2.746092
0.350000,-0.304053,-2.004810,-0.102491,2.792158
0.360000,-0.305064,-1.976670,-0.099777,2.835468
0.370000,-0.306048,-1.948110,-0.096837,2.875980
0.380000,-0.307000,-1.919160,-0.093682,2.913653
0.390000,-0.307921,-1.889847,-0.090321,2.948451
0.400000,-0.308806,-1.860200,-0.086764,2.980340
0.410000,-0.309655,-1.830250,-0.083020,3.009287
0.420000,-0.310466,-1.800025,-0.079101,3.035264
0.430000,-0.311237,-1.769555,-0.075016,3.058246
0.440000,-0.311966,-1.738870,-0.070775,3.078210
0.450000,-0.312652,-1.708000,-0.066390,3.095136
0.460000,-0.313293,-1.676977,-0.061870,3.109008
0.470000,-0.313889,-1.645831,-0.057227,3.119811
0.480000,-0.314437,-1.614591,-0.052472,3.127536
0.490000,-0.314938,-1.583290,-0.047614,3.132174
0.500000,-0.315389,-1.551958,-0.042666,3.133721
0.510000,-0.315791,-1.520626,-0.037637,3.132175
0.520000,-0.316142,-1.489325,-0.032540,3.127538
0.530000,-0.316441,-1.458085,-0.027384,3.119815
0.540000,-0.316689,-1.426939,-0.022181,3.109013
0.550000,-0.316885,-1.395915,-0.016942,3.095143
0.560000,-0.317028,-1.365046,-0.011678,3.078218
0.570000,-0.317118,-1.334361,-0.006399,3.058256
0.580000,-0.317156,-1.303891,-0.001117,3.035275
0.590000,-0.317141,-1.273666,0.004157,3.009299
0.600000,-0.317073,-1.243715,0.009414,2.980353
0.610000,-0.316953,-1.214068,0.014641,2.948466
0.620000,-0.316780,-1.184755,0.019829,2.913669
0.630000,-0.316556,-1.155805,0.024967,2.875997
0.640000,-0.316281,-1.127245,0.030045,2.835486
0.650000,-0.315956,-1.099104,0.035052,2.792177
0.660000,-0.315580,-1.071411,0.039979,2.746113
0.670000,-0.315156,-1.044191,0.044814,2.697338
0.680000,-0.314684,-1.017473,0.049549,2.645902
0.690000,-0.314166,-0.991282,0.054173,2.591854
0.700000,-0.313601,-0.965644,0.058677,2.535249
0.710000,-0.312993,-0.940585,0.063052,2.476142
0.720000,-0.312341,-0.916129,0.067287,2.414591
0.730000,-0.311647,-0.892301,0.071376,2.350657
0.740000,-0.310914,-0.869124,0.075307,2.284403
0.750000,-0.310142,-0.846621,0.079073,2.215895
0.760000,-0.309333,-0.824813,0.082666,2.145200
0.770000,-0.308489,-0.803724,0.086077,2.072388
0.780000,-0.307612,-0.783372,0.089298,1.997531
0.790000,-0.306704,-0.763780,0.092322,1.920702
0.800000,-0.305766,-0.744965,0.095141,1.841978
0.810000,-0.304802,-0.726946,0.097747,1.761436
0.820000,-0.303812,-0.709742,0.100134,1.679156
0.830000,-0.302800,-0.693369,0.102296,1.595219
0.840000,-0.301767,-0.677843,0.104225,1.509707
0.850000,-0.300716,-0.663179,0.105915,1.422706
0.860000,-0.299649,-0.649393,0.107361,1.334301
0.870000,-0.298570,-0.636498,0.108557,1.244578
0.880000,-0.297479,-0.624506,0.109497,1.153628
0.890000,-0.296380,-0.613429,0.110177,1.061539
0.900000,-0.295276,-0.603278,0.110592,0.968402
0.910000,-0.294170,-0.594064,0.110737,0.874310
0.920000,-0.293063,-0.585795,0.110608,0.779355
0.930000,-0.291958,-0.578480,0.110201,0.683631
0.940000,-0.290860,-0.572125,0.109514,0.587232
0.950000,-0.289769,-0.566737,0.108542,0.490253
0.960000,-0.288690,-0.562321,0.107283,0.392791
0.970000,-0.287624,-0.558882,0.105733,0.294941
0.980000,-0.286576,-0.556423,0.103892,0.196800
0.990000,-0.285547,-0.554947,0.101757,0.098465
1.000000,-0.284542,-0.554454,0.099325,0.000033
1.010000,-0.283562,-0.554946,0.096597,-0.098400
1.020000,-0.282611,-0.556422,0.093571,-0.196735
1.030000,-0.281692,-0.558880,0.090245,-0.294876
1.040000,-0.280807,-0.562319,0.086621,-0.392726
1.050000,-0.279960,-0.566734,0.082697,-0.490189
1.060000,-0.279154,-0.572121,0.078475,-0.587168
1.070000,-0.278392,-0.578475,0.073953,-0.683567
1.080000,-0.277676,-0.585790,0.069135,-0.779292
1.090000,-0.277010,-0.594058,0.064020,-0.874247
1.100000,-0.276396,-0.603272,0.058610,-0.968340
1.110000,-0.275839,-0.613422,0.052907,-1.061478
1.120000,-0.275339,-0.624498,0.046913,-1.153567
1.130000,-0.274901,-0.636489,0.040631,-1.244519
1.140000,-0.274528,-0.649384,0.034063,-1.334242
1.150000,-0.274221,-0.663170,0.027212,-1.422648
1.160000,-0.273984,-0.677833,0.020081,-1.509651
1.170000,-0.273820,-0.693358,0.012674,-1.595163
1.180000,-0.273732,-0.709731,0.004996,-1.679101
1.190000,-0.273721,-0.726934,-0.002951,-1.761383
1.200000,-0.273792,-0.744953,-0.011162,-1.841926
1.210000,-0.273945,-0.763767,-0.019632,-1.920651
1.220000,-0.274185,-0.783359,-0.028355,-1.997481
1.230000,-0.274513,-0.803710,-0.037328,-2.072339
1.240000,-0.274933,-0.824799,-0.046544,-2.145153
1.250000,-0.275445,-0.846606,-0.055998,-2.215849
1.260000,-0.276053,-0.869109,-0.065685,-2.284359
1.270000,-0.276759,-0.892286,-0.075597,-2.350614
1.280000,-0.277566,-0.916113,-0.085729,-2.414550
1.290000,-0.278475,-0.940569,-0.096074,-2.476102
1.300000,-0.279488,-0.965627,-0.106625,-2.535212
1.310000,-0.280608,-0.991265,-0.117376,-2.591819
1.320000,-0.281836,-1.017455,-0.128319,-2.645868
1.330000,-0.283175,-1.044173,-0.139446,-2.697306
1.340000,-0.284626,-1.071392,-0.150752,-2.746082
1.350000,-0.286191,-1.099086,-0.162227,-2.792149
1.360000,-0.287871,-1.127226,-0.173864,-2.835459
1.370000,-0.289668,-1.155786,-0.185655,-2.875972
1.380000,-0.291584,-1.184736,-0.197592,-2.913646
1.390000,-0.293621,-1.214049,-0.209667,-2.948445
1.400000,-0.295778,-1.243695,-0.221870,-2.980334
1.410000,-0.298058,-1.273646,-0.234195,-3.009282
1.420000,-0.300462,-1.303871,-0.246632,-3.035260
1.430000,-0.302991,-1.334341,-0.259172,-3.058243
1.440000,-0.305646,-1.365026,-0.271806,-3.078207
1.450000,-0.308428,-1.395895,-0.284526,-3.095134
1.460000,-0.311337,-1.426918,-0.297323,-3.109007
1.470000,-0.314375,-1.458065,-0.310188,-3.119811
1.480000,-0.317541,-1.489304,-0.323111,-3.127536
1.490000,-0.320837,-1.520606,-0.336084,-3.132175
1.500000,-0.324263,-1.551938,-0.349096,-3.133722
1.510000,-0.327819,-1.583270,-0.362140,-3.132177
1.520000,-0.331506,-1.614571,-0.375206,-3.127541
1.530000,-0.335323,-1.645810,-0.388284,-3.119819
1.540000,-0.339271,-1.676957,-0.401365,-3.109017
1.550000,-0.343350,-1.707980,-0.414440,-3.095148
1.560000,-0.347560,-1.738850,-0.427500,-3.078224
1.570000,-0.351900,-1.769535,-0.440535,-3.058262
1.580000,-0.356371,-1.800005,-0.453536,-3.035282
1.590000,-0.360971,-1.830230,-0.466495,-3.009306
1.600000,-0.365700,-1.860181,-0.479401,-2.980361
1.610000,-0.370559,-1.889828,-0.492246,-2.948474
1.620000,-0.375545,-1.919141,-0.505021,-2.913678
1.630000,-0.380659,-1.948092,-0.517717,-2.876006
1.640000,-0.385899,-1.976652,-0.530325,-2.835496
1.650000,-0.391265,-2.004792,-0.542836,-2.792188
1.660000,-0.396755,-2.032486,-0.555241,-2.746124
1.670000,-0.402369,-2.059706,-0.567532,-2.697350
1.680000,-0.408106,-2.086424,-0.579701,-2.645915
1.690000,-0.413963,-2.112615,-0.591738,-2.591868
1.700000,-0.419940,-2.138253,-0.603636,-2.535263
1.710000,-0.426035,-2.163312,-0.615387,-2.476156
1.720000,-0.432247,-2.187768,-0.626982,-2.414605
1.730000,-0.438574,-2.211596,-0.638414,-2.350672
1.740000,-0.445015,-2.234774,-0.649675,-2.284419
1.750000,-0.451567,-2.257277,-0.660757,-2.215911
1.760000,-0.458229,-2.279085,-0.671653,-2.145217
1.770000,-0.465000,-2.300175,-0.682355,-2.072405
1.780000,-0.471876,-2.320526,-0.692857,-1.997548
1.790000,-0.478856,-2.340119,-0.703152,-1.920720
1.800000,-0.485938,-2.358934,-0.713233,-1.841997
1.810000,-0.493120,-2.376953,-0.723092,-1.761455
1.820000,-0.500399,-2.394157,-0.732725,-1.679176
1.830000,-0.507774,-2.410531,-0.742125,-1.595239
1.840000,-0.515241,-2.426057,-0.751285,-1.509728
1.850000,-0.522799,-2.440720,-0.760201,-1.422727
1.860000,-0.530444,-2.454507,-0.768865,-1.334321
1.870000,-0.538175,-2.467402,-0.777274,-1.244600
1.880000,-0.545989,-2.479395,-0.785422,-1.153649
1.890000,-0.553883,-2.490472,-0.793304,-1.061561
1.900000,-0.561854,-2.500622,-0.800914,-0.968425
1.910000,-0.569900,-2.509837,-0.808250,-0.874333
1.920000,-0.578018,-2.518106,-0.815306,-0.779378
1.930000,-0.586205,-2.525422,-0.822078,-0.683654
1.940000,-0.594459,-2.531777,-0.828562,-0.587255
1.950000,-0.602775,-2.537165,-0.834756,-0.490277
1.960000,-0.611153,-2.541581,-0.840654,-0.392815
1.970000,-0.619588,-2.545020,-0.846255,-0.294965
1.980000,-0.628077,-2.547479,-0.851556,-0.196825
1.990000,-0.636618,-2.548956,-0.856553,-0.098490
2.000000,-0.645207,-2.549449,-0.861243,-0.000058
2.010000,-0.653842,-2.548957,-0.865626,0.098375
2.020000,-0.662518,-2.547482,-0.869699,0.196710
2.030000,-0.671234,-2.545024,-0.873460,0.294851
2.040000,-0.679987,-2.541586,-0.876907,0.392701
2.050000,-0.688772,-2.537171,-0.880039,0.490163
2.060000,-0.697586,-2.531784,-0.882855,0.587142
2.070000,-0.706428,-2.525430,-0.885354,0.683541
2.080000,-0.715292,-2.518115,-0.887536,0.779266
2.090000,-0.724177,-2.509847,-0.889400,0.874221
2.100000,-0.733079,-2.500634,-0.890945,0.968314
2.110000,-0.741995,-2.490484,-0.892173,1.061451
2.120000,-0.750922,-2.479408,-0.893082,1.153541
2.130000,-0.759856,-2.467417,-0.893674,1.244492
2.140000,-0.768794,-2.454522,-0.893948,1.334215
2.150000,-0.777734,-2.440737,-0.893907,1.422621
2.160000,-0.786671,-2.426075,-0.893550,1.509624
2.170000,-0.795604,-2.410550,-0.892880,1.595136
2.180000,-0.804528,-2.394177,-0.891897,1.679075
2.190000,-0.813440,-2.376974,-0.890603,1.761356
2.200000,-0.822339,-2.358956,-0.889001,1.841899
2.210000,-0.831219,-2.340142,-0.887091,1.920624
2.220000,-0.840080,-2.320550,-0.884877,1.997454
2.230000,-0.848916,-2.300199,-0.882360,2.072313
2.240000,-0.857726,-2.279110,-0.879543,2.145126
2.250000,-0.866506,-2.257304,-0.876430,2.215823
