| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
|---|---|---|---|---|---|---|---|
| OL-CMA | FF+PD | 120_2.2_150_2.5 | 1.148 | 1.156 | 18.5% | 35.5% | 17.6% |
| OL-CMA | FF+PD | 120_2.2_200_2.8 | 1.148 | 1.156 | 19.1% | 35.6% | 18.2% |
| OL-CMA | FF+PD | 120_2_120_2 | 1.148 | 1.158 | 18.5% | 35.7% | 17.6% |
| OL-CMA | FF+PD | 150_2.2_250_3 | 1.148 | 1.156 | 20.2% | 39.2% | 19.1% |
| OL-CMA | FF+PD | 150_2.2_350_3.5 | 1.148 | 1.159 | 21.8% | 39.3% | 20.9% |
| OL-CMA | FF+PD | 150_2.2_500_4 | 1.148 | 1.161 | 24.7% | 37.1% | 24.1% |
| OL-CMA | FF+PD | 60_1.5_60_1.5 | 1.148 | 1.160 | 17.6% | 29.4% | 17.0% |
| OL-CMA | FF+PD | 90_1.5_90_2.5 | 1.148 | 1.159 | 17.2% | 32.6% | 16.4% |
| OL-CMA | PD그대로 | 120_2.2_150_2.5 | 1.148 | 1.265 | 77.0% | 111.7% | 75.5% |
| OL-CMA | PD그대로 | 120_2.2_200_2.8 | 1.148 | 1.283 | 77.2% | 110.9% | 75.8% |
| OL-CMA | PD그대로 | 120_2_120_2 | 1.148 | 1.255 | 79.2% | 114.6% | 77.7% |
| OL-CMA | PD그대로 | 150_2.2_250_3 | 1.148 | 1.298 | 78.4% | 113.9% | 76.8% |
| OL-CMA | PD그대로 | 150_2.2_350_3.5 | 1.148 | 1.300 | 79.6% | 112.8% | 78.2% |
| OL-CMA | PD그대로 | 150_2.2_500_4 | 1.148 | 1.296 | 82.0% | 111.9% | 80.7% |
| OL-CMA | PD그대로 | 60_1.5_60_1.5 | 1.148 | 1.036 | 81.7% | 110.0% | 80.5% |
| OL-CMA | PD그대로 | 90_1.5_90_2.5 | 1.148 | 1.195 | 74.8% | 109.7% | 73.2% |
| OL-CMA | 성형 | 120_2.2_150_2.5 | 1.148 | 1.134 | 32.4% | 23.5% | 32.7% |
| OL-CMA | 성형 | 120_2.2_200_2.8 | 1.148 | 1.144 | 32.8% | 24.7% | 33.1% |
| OL-CMA | 성형 | 120_2_120_2 | 1.148 | 1.128 | 33.3% | 22.4% | 33.6% |
| OL-CMA | 성형 | 150_2.2_250_3 | 1.148 | 1.151 | 33.6% | 28.4% | 33.7% |
| OL-CMA | 성형 | 150_2.2_350_3.5 | 1.148 | 1.156 | 35.7% | 29.2% | 35.9% |
| OL-CMA | 성형 | 150_2.2_500_4 | 1.148 | 1.168 | 39.1% | 29.8% | 39.4% |
| OL-CMA | 성형 | 60_1.5_60_1.5 | 1.148 | 1.135 | 35.4% | 13.9% | 35.9% |
| OL-CMA | 성형 | 90_1.5_90_2.5 | 1.148 | 1.136 | 31.4% | 18.1% | 31.8% |
| MPPI | FF+PD | 120_2.2_150_2.5 | 1.077 | 1.091 | 5.6% | 8.5% | 4.7% |
| MPPI | FF+PD | 120_2.2_200_2.8 | 1.077 | 1.089 | 5.6% | 8.4% | 4.8% |
| MPPI | FF+PD | 120_2_120_2 | 1.077 | 1.091 | 5.7% | 8.5% | 4.8% |
| MPPI | FF+PD | 150_2.2_250_3 | 1.077 | 1.087 | 5.8% | 8.5% | 4.9% |
| MPPI | FF+PD | 150_2.2_350_3.5 | 1.077 | 1.084 | 6.1% | 8.6% | 5.4% |
| MPPI | FF+PD | 150_2.2_500_4 | 1.077 | 1.087 | 6.7% | 9.1% | 6.0% |
| MPPI | FF+PD | 60_1.5_60_1.5 | 1.077 | 1.090 | 5.9% | 8.7% | 5.0% |
| MPPI | FF+PD | 90_1.5_90_2.5 | 1.077 | 1.091 | 5.7% | 8.8% | 4.7% |
| MPPI | PD그대로 | 120_2.2_150_2.5 | 1.077 | 1.194 | 65.0% | 87.9% | 58.8% |
| MPPI | PD그대로 | 120_2.2_200_2.8 | 1.077 | 1.173 | 59.5% | 74.6% | 55.6% |
| MPPI | PD그대로 | 120_2_120_2 | 1.077 | 1.208 | 71.3% | 101.0% | 63.0% |
| MPPI | PD그대로 | 150_2.2_250_3 | 1.077 | 1.169 | 52.6% | 68.6% | 48.4% |
| MPPI | PD그대로 | 150_2.2_350_3.5 | 1.077 | 1.142 | 47.0% | 59.4% | 43.7% |
| MPPI | PD그대로 | 150_2.2_500_4 | 1.077 | 1.119 | 44.4% | 58.2% | 40.6% |
| MPPI | PD그대로 | 60_1.5_60_1.5 | 1.077 | 1.087 | 82.4% | 112.1% | 73.8% |
| MPPI | PD그대로 | 90_1.5_90_2.5 | 1.077 | 1.145 | 72.2% | 103.2% | 63.3% |
| MPPI | 성형 | 120_2.2_150_2.5 | 1.077 | 1.091 | 6.3% | 9.3% | 5.5% |
