계획(성형)                       게인     h_plan    h_PD     F_τ     hip    knee
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
p25_a4_ilqr                  60_1.5_60_1.5   1.542   1.538   42.6%   43.8%   38.1%
p25_a4_ilqr                  90_1.5_90_2.5   1.542   1.544   40.3%   41.1%   37.1%
p25_a4_ilqr                  120_2_120_2   1.542   1.543   34.7%   35.8%   30.4%
p25_a4_ilqr                  120_2.2_150_2.5   1.542   1.538   33.8%   35.0%   28.8%
p25_a4_ilqr                  120_2.2_200_2.8   1.542   1.541   33.2%   34.7%   26.8%
p25_a4_ilqr                  150_2.2_250_3   1.542   1.544   30.8%   32.4%   24.2%
p25_a4_ilqr                  150_2.2_350_3.5   1.542   1.535   31.4%   32.1%   28.6%
p25_a4_ilqr                  150_2.2_500_4   1.542   1.541   34.1%   32.2%   40.5%
p25_a_cl_cma                 60_1.5_60_1.5   1.517   1.512   38.9%   41.4%   27.2%
p25_a_cl_cma                 90_1.5_90_2.5   1.517   1.510   36.4%   38.5%   27.0%
p25_a_cl_cma                 120_2_120_2   1.517   1.510   31.6%   33.3%   23.9%
p25_a_cl_cma                 120_2.2_150_2.5   1.517   1.510   31.0%   32.5%   24.3%
p25_a_cl_cma                 120_2.2_200_2.8   1.517   1.513   31.1%   32.3%   26.1%
p25_a_cl_cma                 150_2.2_250_3   1.517   1.508   29.5%   30.1%   27.0%
p25_a_cl_cma                 150_2.2_350_3.5   1.517   1.512   31.4%   30.4%   34.9%
p25_a_cl_cma                 150_2.2_500_4   1.517   1.514   34.4%   29.9%   47.6%
p25_a_clt                    60_1.5_60_1.5   0.803   0.617   42.2%   15.0%   48.6%
p25_a_clt                    90_1.5_90_2.5   0.803   0.662   36.0%   16.8%   41.2%
p25_a_clt                    120_2_120_2   0.803   0.688   35.9%   23.4%   39.7%
p25_a_clt                    120_2.2_150_2.5   0.803   0.708   32.9%   22.3%   36.2%
p25_a_clt                    120_2.2_200_2.8   0.803   0.726   30.9%   21.6%   33.9%
p25_a_clt                    150_2.2_250_3   0.803   0.749   30.3%   23.8%   32.5%
p25_a_clt                    150_2.2_350_3.5   0.803   0.765   29.9%   21.7%   32.5%
p25_a_clt                    150_2.2_500_4   0.803   0.783   31.3%   19.9%   34.8%
p25_a_mppi                   60_1.5_60_1.5   1.018   1.044    8.3%   11.1%    7.8%
p25_a_mppi                   90_1.5_90_2.5   1.018   1.033    6.5%    9.6%    5.9%
p25_a_mppi                   120_2_120_2   1.018   1.031    6.2%    8.6%    5.7%
p25_a_mppi                   120_2.2_150_2.5   1.018   1.032    5.8%    9.0%    5.1%
p25_a_mppi                   120_2.2_200_2.8   1.018   1.034    5.9%   10.7%    4.7%
p25_a_mppi                   150_2.2_250_3   1.018   1.033    5.4%   10.2%    4.1%
p25_a_mppi                   150_2.2_350_3.5   1.018   1.031    6.1%   12.9%    3.9%
p25_a_mppi                   150_2.2_500_4   1.018   1.030    7.2%   15.8%    4.4%
p25_a_ol_cma                 60_1.5_60_1.5   1.251   1.266   43.9%   40.3%   58.5%
p25_a_ol_cma                 90_1.5_90_2.5   1.251   1.279   43.4%   41.1%   53.7%
p25_a_ol_cma                 120_2_120_2   1.251   1.280   41.3%   40.3%   45.8%
p25_a_ol_cma                 120_2.2_150_2.5   1.251   1.278   40.1%   39.7%   42.2%
p25_a_ol_cma                 120_2.2_200_2.8   1.251   1.274   38.4%   38.6%   37.5%
p25_a_ol_cma                 150_2.2_250_3   1.251   1.274   39.1%   39.5%   36.9%
p25_a_ol_cma                 150_2.2_350_3.5   1.251   1.273   39.3%   39.4%   39.1%
p25_a_ol_cma                 150_2.2_500_4   1.251   1.268   41.7%   39.1%   52.9%
p25_b_traj                   60_1.5_60_1.5   1.128   1.143  122.2%   82.7%  187.5%
p25_b_traj                   90_1.5_90_2.5   1.128   1.164  104.0%   80.2%  150.1%
p25_b_traj                   120_2_120_2   1.128   1.178  100.5%   83.8%  132.7%
p25_b_traj                   120_2.2_150_2.5   1.128   1.196   16.4%   11.4%   18.4%
p25_b_traj                   120_2.2_200_2.8   1.128   1.230   21.0%   11.2%   24.5%
p25_b_traj                   150_2.2_250_3   1.128   1.270   26.4%   11.9%   31.3%
p25_b_traj                   150_2.2_350_3.5   1.128   1.317   34.5%   14.0%   41.2%
p25_b_traj                   150_2.2_500_4   1.128   1.341   40.8%   17.3%   48.6%
p25_c_ppo                    60_1.5_60_1.5   1.319   1.146   20.4%   16.4%   23.4%
p25_c_ppo                    90_1.5_90_2.5   1.319   1.207   19.2%   16.8%   21.2%
p25_c_ppo                    120_2_120_2   1.319   1.227   20.8%   18.6%   22.5%
p25_c_ppo                    120_2.2_150_2.5   1.319   1.237   21.6%   19.4%   23.5%
p25_c_ppo                    120_2.2_200_2.8   1.319   1.238   23.0%   21.1%   24.6%
p25_c_ppo                    150_2.2_250_3   1.319   1.256   22.0%   21.9%   22.2%
p25_c_ppo                    150_2.2_350_3.5   1.319   1.266   22.9%   22.8%   22.9%
p25_c_ppo                    150_2.2_500_4   1.319   1.272   23.9%   23.6%   24.2%
