계획                     모드       게인                h_plan    h_PD     F_τ
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
t0nc_cl                FF+PD    60_1.5_60_1.5      0.977   0.991   18.6%
t0nc_cl                그대로      60_1.5_60_1.5      0.977   1.004   66.2%
t0nc_cl                FF+PD    90_1.5_90_2.5      0.977   0.966   22.7%
t0nc_cl                그대로      90_1.5_90_2.5      0.977   1.029   40.6%
t0nc_cl                FF+PD    120_2_120_2        0.977   0.960   23.8%
t0nc_cl                그대로      120_2_120_2        0.977   1.073   39.6%
t0nc_cl                FF+PD    120_2.2_150_2.5    0.977   0.956   25.0%
t0nc_cl                그대로      120_2.2_150_2.5    0.977   1.056   23.6%
t0nc_cl                FF+PD    120_2.2_200_2.8    0.977   0.960   26.0%
t0nc_cl                그대로      120_2.2_200_2.8    0.977   1.048   20.6%
t0nc_cl                FF+PD    150_2.2_250_3      0.977   0.978   28.5%
t0nc_cl                그대로      150_2.2_250_3      0.977   1.044   22.6%
t0nc_cl                FF+PD    150_2.2_350_3.5    0.977   0.995   30.3%
t0nc_cl                그대로      150_2.2_350_3.5    0.977   1.028   24.8%
t0nc_cl                FF+PD    150_2.2_500_4      0.977   1.012   32.2%
t0nc_cl                그대로      150_2.2_500_4      0.977   1.016   27.0%
t0nc_nlp               FF+PD    60_1.5_60_1.5      0.887   0.889    8.8%
t0nc_nlp               그대로      60_1.5_60_1.5      0.887   1.106   88.8%
t0nc_nlp               FF+PD    90_1.5_90_2.5      0.887   0.902   10.8%
t0nc_nlp               그대로      90_1.5_90_2.5      0.887   1.145   79.6%
t0nc_nlp               FF+PD    120_2_120_2        0.887   0.913   13.7%
t0nc_nlp               그대로      120_2_120_2        0.887   1.206   79.0%
t0nc_nlp               FF+PD    120_2.2_150_2.5    0.887   0.921   14.8%
t0nc_nlp               그대로      120_2.2_150_2.5    0.887   1.186   75.4%
t0nc_nlp               FF+PD    120_2.2_200_2.8    0.887   0.931   15.8%
t0nc_nlp               그대로      120_2.2_200_2.8    0.887   1.176   74.4%
t0nc_nlp               FF+PD    150_2.2_250_3      0.887   0.939   17.7%
t0nc_nlp               그대로      150_2.2_250_3      0.887   1.185   71.4%
t0nc_nlp               FF+PD    150_2.2_350_3.5    0.887   0.936   18.8%
t0nc_nlp               그대로      150_2.2_350_3.5    0.887   1.167   70.5%
t0nc_nlp               FF+PD    150_2.2_500_4      0.887   0.920   19.9%
t0nc_nlp               그대로      150_2.2_500_4      0.887   1.152   70.2%
t0nc_ol                FF+PD    60_1.5_60_1.5      0.890   0.903    2.6%
t0nc_ol                그대로      60_1.5_60_1.5      0.890   1.103   89.9%
t0nc_ol                FF+PD    90_1.5_90_2.5      0.890   0.901    2.6%
t0nc_ol                그대로      90_1.5_90_2.5      0.890   1.160   79.6%
t0nc_ol                FF+PD    120_2_120_2        0.890   0.902    3.0%
t0nc_ol                그대로      120_2_120_2        0.890   1.214   75.9%
t0nc_ol                FF+PD    120_2.2_150_2.5    0.890   0.901    3.0%
t0nc_ol                그대로      120_2.2_150_2.5    0.890   1.193   70.6%
t0nc_ol                FF+PD    120_2.2_200_2.8    0.890   0.899    3.0%
t0nc_ol                그대로      120_2.2_200_2.8    0.890   1.178   67.9%
t0nc_ol                FF+PD    150_2.2_250_3      0.890   0.897    3.2%
t0nc_ol                그대로      150_2.2_250_3      0.890   1.178   62.8%
t0nc_ol                FF+PD    150_2.2_350_3.5    0.890   0.893    3.5%
t0nc_ol                그대로      150_2.2_350_3.5    0.890   1.150   61.7%
t0nc_ol                FF+PD    150_2.2_500_4      0.890   0.892    4.1%
t0nc_ol                그대로      150_2.2_500_4      0.890   1.124   62.4%
t0nc_ppo               FF+PD    60_1.5_60_1.5      0.699   0.716    3.7%
t0nc_ppo               그대로      60_1.5_60_1.5      0.699   0.708   92.7%
t0nc_ppo               FF+PD    90_1.5_90_2.5      0.699   0.716    3.5%
t0nc_ppo               그대로      90_1.5_90_2.5      0.699   0.773   85.3%
t0nc_ppo               FF+PD    120_2_120_2        0.699   0.716    3.6%
t0nc_ppo               그대로      120_2_120_2        0.699   0.853   85.9%
t0nc_ppo               FF+PD    120_2.2_150_2.5    0.699   0.714    3.7%
t0nc_ppo               그대로      120_2.2_150_2.5    0.699   0.855   81.3%
t0nc_ppo               FF+PD    120_2.2_200_2.8    0.699   0.711    4.0%
t0nc_ppo               그대로      120_2.2_200_2.8    0.699   0.869   79.6%
t0nc_ppo               FF+PD    150_2.2_250_3      0.699   0.706    4.6%
t0nc_ppo               그대로      150_2.2_250_3      0.699   0.894   76.7%
t0nc_ppo               FF+PD    150_2.2_350_3.5    0.699   0.700    5.6%
t0nc_ppo               그대로      150_2.2_350_3.5    0.699   0.896   74.9%
t0nc_ppo               FF+PD    150_2.2_500_4      0.699   0.694    6.9%
t0nc_ppo               그대로      150_2.2_500_4      0.699   0.897   74.0%
t0nc_ppo_best_long     FF+PD    60_1.5_60_1.5      1.058   1.081    7.5%
t0nc_ppo_best_long     그대로      60_1.5_60_1.5      1.058   1.062   89.4%
