계획                     모드       게인                h_plan    h_PD     F_τ
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
t0nc_cl                FF+PD    60_1.5_60_1.5      0.977   0.975   14.4%
t0nc_cl                그대로      60_1.5_60_1.5      0.977   0.915   69.2%
t0nc_cl                FF+PD    90_1.5_90_2.5      0.977   0.955   18.2%
t0nc_cl                그대로      90_1.5_90_2.5      0.977   0.958   54.5%
t0nc_cl                FF+PD    120_2_120_2        0.977   0.951   19.2%
t0nc_cl                그대로      120_2_120_2        0.977   0.987   56.0%
t0nc_cl                FF+PD    120_2.2_150_2.5    0.977   0.944   20.0%
t0nc_cl                그대로      120_2.2_150_2.5    0.977   0.984   42.6%
t0nc_cl                FF+PD    120_2.2_200_2.8    0.977   0.943   20.4%
t0nc_cl                그대로      120_2.2_200_2.8    0.977   0.984   28.8%
t0nc_cl                FF+PD    150_2.2_250_3      0.977   0.943   20.3%
t0nc_cl                그대로      150_2.2_250_3      0.977   0.990   18.8%
t0nc_cl                FF+PD    150_2.2_350_3.5    0.977   0.944   19.4%
t0nc_cl                그대로      150_2.2_350_3.5    0.977   0.983    6.6%
t0nc_cl                FF+PD    150_2.2_500_4      0.977   0.942   19.0%
t0nc_cl                그대로      150_2.2_500_4      0.977   0.977    0.0%
t0nc_nlp               FF+PD    60_1.5_60_1.5      0.887   0.878    9.0%
t0nc_nlp               그대로      60_1.5_60_1.5      0.887   0.989   84.4%
t0nc_nlp               FF+PD    90_1.5_90_2.5      0.887   0.889   11.9%
t0nc_nlp               그대로      90_1.5_90_2.5      0.887   1.028   78.2%
t0nc_nlp               FF+PD    120_2_120_2        0.887   0.898   15.6%
t0nc_nlp               그대로      120_2_120_2        0.887   1.071   78.0%
t0nc_nlp               FF+PD    120_2.2_150_2.5    0.887   0.912   18.4%
t0nc_nlp               그대로      120_2.2_150_2.5    0.887   1.062   75.3%
t0nc_nlp               FF+PD    120_2.2_200_2.8    0.887   0.936   22.9%
t0nc_nlp               그대로      120_2.2_200_2.8    0.887   1.061   73.5%
t0nc_nlp               FF+PD    150_2.2_250_3      0.887   0.961   28.1%
t0nc_nlp               그대로      150_2.2_250_3      0.887   1.073   71.9%
t0nc_nlp               FF+PD    150_2.2_350_3.5    0.887   0.985   32.7%
t0nc_nlp               그대로      150_2.2_350_3.5    0.887   1.071   70.6%
t0nc_nlp               FF+PD    150_2.2_500_4      0.887   0.994   35.0%
t0nc_nlp               그대로      150_2.2_500_4      0.887   1.067   69.5%
t0nc_ol                FF+PD    60_1.5_60_1.5      0.890   0.903    2.6%
t0nc_ol                그대로      60_1.5_60_1.5      0.890   0.963   87.6%
t0nc_ol                FF+PD    90_1.5_90_2.5      0.890   0.901    2.6%
t0nc_ol                그대로      90_1.5_90_2.5      0.890   1.017   81.3%
t0nc_ol                FF+PD    120_2_120_2        0.890   0.902    3.0%
t0nc_ol                그대로      120_2_120_2        0.890   1.064   79.2%
t0nc_ol                FF+PD    120_2.2_150_2.5    0.890   0.901    3.0%
t0nc_ol                그대로      120_2.2_150_2.5    0.890   1.059   75.7%
t0nc_ol                FF+PD    120_2.2_200_2.8    0.890   0.899    3.0%
t0nc_ol                그대로      120_2.2_200_2.8    0.890   1.057   73.6%
t0nc_ol                FF+PD    150_2.2_250_3      0.890   0.897    3.2%
t0nc_ol                그대로      150_2.2_250_3      0.890   1.071   70.0%
t0nc_ol                FF+PD    150_2.2_350_3.5    0.890   0.893    3.5%
t0nc_ol                그대로      150_2.2_350_3.5    0.890   1.065   67.8%
t0nc_ol                FF+PD    150_2.2_500_4      0.890   0.892    4.1%
t0nc_ol                그대로      150_2.2_500_4      0.890   1.060   66.1%
saved t0_deploy_results.json
