warm-start from previous mshoot best
warm-start from previous fourbar best

세션           n   sim 최고[m]     실측[m]    Δ[cm]     배율
26.03.24     3       0.734     0.770     -3.6  0.953
26.04.21     6       0.828     0.855     -2.7  0.968
26.04.24     9       0.754     0.810     -5.6  0.931
26.06.02     5       1.015     0.940     +7.5  1.079
26.07.22     5       0.863     0.820     +4.3  1.052
26.07.23     3       0.837     0.810     +2.7  1.033
26.07.24     3       0.944     0.760    +18.4  1.241
26.07.25     4       0.732     0.755     -2.3  0.970
26.07.27     7       0.848     0.840     +0.8  1.009
평균                   0.839     0.818     +2.1  1.026

**|Δh| (trial별 절대오차 평균) = 4.74 cm**
