warm-start from previous mshoot best
warm-start from previous fourbar best
세션             -95    -105    -115    -125    -135    -145
26.03.19       —       —       —       —    -0.86   -0.72
26.03.24    +1.15      —       —       —       —    +0.13
26.04.21       —       —       —       —    +0.46   +0.21
26.04.22    +0.66      —       —       —    +0.45   +0.17
26.04.24       —       —       —       —    +0.36   +0.07
26.06.02    +1.35   +0.96   +0.64   +0.26   -0.28   -0.40
26.07.22    +1.54   +1.67   +1.91   +2.23      —       — 
26.07.23    +1.30      —       —    -0.81   -0.38   -0.41
26.07.24    +0.72      —       —    -1.05   -0.12      — 
26.07.25    +2.62   +3.79   +6.45      —       —       — 
26.07.27    +1.60   +2.12   +1.83   +2.07      —       — 
done  (hip 잔차 [Nm] vs 무릎 깊이 빈 — 활성 후·접지·저속 한정)
