26.03.19/position/NO_TR_JUMP: 13s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.48,-0.12)@(-90°,-90°) | 접지 1~9s raw(-0.08,+4.16)
26.03.19/position/TR_JUMP: 35s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.54,-0.17)@(-90°,-90°) | 접지 1~31s raw(+0.07,+3.71)
26.03.24/Jump/Jump_No_Tr/P100_D3: 16s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~11s raw(-0.45,+4.51)
26.03.24/Jump/Jump_No_Tr/P40_D0.7: 21s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.75,-0.33)@(-46°,-90°) | 접지 1~16s raw(-0.45,+4.69)
26.03.24/Jump/Jump_No_Tr/P60_D1.5: 17s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.73,-0.00)@(-46°,-90°) | 접지 1~12s raw(-0.44,+4.73)
26.03.24/Jump/Jump_Tr/P100_D1.5: 11s | 미활성 h0.0/k0.0s | 공중 0~2s raw(+0.74,-0.00)@(-46°,-90°) | 접지 2~6s raw(+0.00,+4.62)
26.03.24/Jump/Jump_Tr/P100_D3: 19s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.53,+0.00)@(-46°,-90°) | 접지 1~15s raw(-0.58,+4.47)
26.03.24/Jump/Jump_Tr/P40_D0.7: 24s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.85,-0.00)@(-46°,-90°) | 접지 1~8s raw(+0.20,+4.83)
26.03.24/Jump/Jump_Tr/P60_D0.7: 18s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.72,-0.01)@(-46°,-90°) | 접지 1~7s raw(+0.01,+4.80)
26.03.24/Jump/Jump_Tr/P60_D1.5: 47s | 미활성 h0.0/k0.0s | 공중 — | 접지 3~42s raw(-0.21,+4.62)
26.04.21/Position Control/P100_D0.75_P100_D2: 65s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.54,-0.06)@(-45°,-90°) | 접지 1~61s raw(-0.11,+3.85)
26.04.21/Position Control/P200_D1.5_P200_D4: 30s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.05,+3.69)@(-45°,-91°) | 접지 1~21s raw(+0.04,+3.69)
26.04.21/Position Control/P60_D0.75_P60_D2: 19s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.65,-0.18)@(-46°,-90°) | 접지 1~14s raw(+0.00,+3.95)
26.04.21/Position Control/P70_D0.75_P70_D2: 16s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.51,-0.19)@(-45°,-90°) | 접지 1~12s raw(-0.05,+3.89)
26.04.21/Position Control/P80_D0.75_P80_D2: 42s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.60,-0.04)@(-45°,-90°) | 접지 1~37s raw(+0.01,+4.09)
26.04.21/Position Control/P90_D0.75_P90_D2: 21s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.58,-0.10)@(-45°,-90°) | 접지 1~17s raw(+0.02,+4.08)
26.04.22/Torque Control/P100_D3: 15s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.67,-0.00)@(-46°,-90°) | 접지 2~10s raw(-0.08,+4.43)
