지금 구조 세대별 최고 후보 60 개 중 서로 다른 것 24 개
warm-start from previous mshoot best
warm-start from previous fourbar best
  1/24 깨끗한점수 0.99944 (오염 0.99949)
  2/24 깨끗한점수 0.99863 (오염 0.99636)
  3/24 깨끗한점수 0.99310 (오염 0.99343)
  4/24 깨끗한점수 0.99252 (오염 0.99254)
  5/24 깨끗한점수 0.98587 (오염 0.98349)
  6/24 깨끗한점수 0.98404 (오염 0.98322)
  7/24 깨끗한점수 0.98095 (오염 0.98199)
  8/24 깨끗한점수 0.97453 (오염 0.97538)
  9/24 깨끗한점수 0.97381 (오염 0.97400)
  10/24 깨끗한점수 0.97313 (오염 0.97329)
  11/24 깨끗한점수 0.97214 (오염 0.97256)
  12/24 깨끗한점수 0.97175 (오염 0.97247)
  13/24 깨끗한점수 0.96845 (오염 0.96935)
  14/24 깨끗한점수 0.96794 (오염 0.96914)
  15/24 깨끗한점수 0.96691 (오염 0.96860)
  16/24 깨끗한점수 0.96690 (오염 0.96836)
  17/24 깨끗한점수 0.96657 (오염 0.96804)
  18/24 깨끗한점수 0.96571 (오염 0.96770)
  19/24 깨끗한점수 0.96561 (오염 0.96769)
  20/24 깨끗한점수 0.96579 (오염 0.96722)
  21/24 깨끗한점수 0.96612 (오염 0.96717)
  22/24 깨끗한점수 0.96603 (오염 0.96700)
  23/24 깨끗한점수 0.96515 (오염 0.96650)
  24/24 깨끗한점수 0.96539 (오염 0.96628)

  순위       깨끗한점수       오염된점수      벌점 | 비고
   1     0.96449     0.96561  0.0000 | ← 승격된 것
   2     0.96515     0.96650  0.0000 | 
   3     0.96539     0.96628  0.0000 | 
   4     0.96561     0.96769  0.0000 | 
   5     0.96571     0.96770  0.0000 | 
   6     0.96579     0.96722  0.0000 | 

승격 후보의 깨끗한 판 순위: 1위 / 25개 · 1위와 차이 +0.00000
