세션,trial,상태,fps,해상도,자_mm_px,지름px,지름산포pct,세션중앙지름px,동기민감도mm,추적점수최저,Δx_하강전반,구름_하강전반,슬립_하강전반,Δx_하강후반,구름_하강후반,슬립_하강후반,Δx_바닥유지,구름_바닥유지,슬립_바닥유지,Δx_푸시~이륙,구름_푸시~이륙,슬립_푸시~이륙,Δx_전체,구름_전체,슬립_전체,QC
26.07.23,150_2.2_250_3,성공,24.0,720x1280,0.9164,32.74,3.4,32.74,11.1,59.0,4.16,4.62,-0.46,-2.22,4.77,-6.99,-0.61,-0.08,-0.53,-56.64,-14.67,-41.98,-55.32,-5.36,-49.96,동기 ±1프레임 → 푸시슬립 ±11mm
26.07.22,120_2_120_2,성공,24.0,?x?,1.6667,18.0,2.6,18.0,7.8,28.0,-13.99,0.87,-14.85,0.08,0.46,-0.38,8.48,-0.01,8.49,-3.81,-9.61,5.8,-9.23,-8.29,-0.94,최저 추적점수 28 (<40) / 접지 절단 f98 (이륙 f165 보다 67프레임 이름 — 동기 의심)
26.07.22,150_2.2_250_3,성공,24.0,?x?,1.6667,18.0,0.0,18.0,7.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45,-10.83,55.28,44.45,-10.83,55.28,최저 추적점수 14 (<40) / 접지 절단 f52 (이륙 f160 보다 108프레임 이름 — 동기 의심)
26.07.22,150_3.3_500_5,성공,24.0,?x?,1.6667,18.0,8.7,18.0,6.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86,-10.43,44.29,33.86,-10.43,44.29,최저 추적점수 17 (<40) / 접지 절단 f52 (이륙 f160 보다 108프레임 이름 — 동기 의심)
26.07.22,60_0.75_60_2,성공,24.0,?x?,1.6667,18.0,2.2,18.0,3.9,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,-7.33,7.61,0.29,-7.33,7.61,최저 추적점수 31 (<40) / 접지 절단 f73 (이륙 f181 보다 108프레임 이름 — 동기 의심)
26.07.22,60_1.5_60_1.5,성공,24.0,?x?,1.6667,18.0,3.9,18.0,5.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.31,-8.82,-28.49,-37.31,-8.82,-28.49,최저 추적점수 1 (<40) / 이륙 변위 6px (<15 — 발 오탐 가능) / 접지 절단 f55 (이륙 f163 보다 108프레임 이름 — 동기 의심)
26.07.23,150_2.2_500_5,성공,24.0,720x1280,0.898,33.41,3.3,32.74,8.1,82.0,3.99,4.45,-0.46,-6.24,5.04,-11.29,-0.04,0.03,-0.07,-25.16,-12.56,-12.6,-27.45,-3.03,-24.42,동기 ±1프레임 → 푸시슬립 ±8mm
26.07.23,60_0.75_60_2,성공,24.0,720x1280,1.0176,29.48,0.0,32.74,6.9,59.0,4.08,4.65,-0.57,1.02,4.13,-3.11,-0.35,-0.16,-0.19,-8.28,-9.53,1.25,-3.54,-0.92,-2.63,
26.07.24,150_2.2_250_3,성공,24.0,720x1280,2.035,14.74,0.0,14.74,11.1,54.0,-0.15,0.13,-0.29,-1.06,0.1,-1.16,0.03,-0.18,0.21,-0.03,-13.81,13.78,-1.2,-13.75,12.55,동기 ±1프레임 → 푸시슬립 ±11mm / 이륙 변위 12px (<15 — 발 오탐 가능) / SEED_CAL 미등재 — 반지름구속 자동 시드 (검증 시트 확인 필수) / 접지끝 f46 vs 차분이륙 f128 차이 82프레임
26.07.24,150_2.2_350_3.5,성공,24.0,720x1280,2.035,14.74,0.0,14.74,9.6,85.0,-9.07,4.14,-13.21,32.28,2.79,29.49,-40.93,-0.03,-40.9,-24.04,-14.08,-9.95,-41.76,-7.18,-34.58,동기 ±1프레임 → 푸시슬립 ±10mm / 측정지름 22.2 vs 세션자 14.7 (+50%) — 추적 의심 / SEED_CAL 미등재 — 반지름구속 자동 시드 (검증 시트 확인 필수) / 접지끝 f136 vs 차분이륙 f174 차이 38프레임
