t_s,q1_des_rad,q2_des_rad,dq1_des_rad_s,dq2_des_rad_s,tau1_ff_Nm,tau2_ff_Nm
0.000000,-0.295858,-2.542803,0.382759,-0.488651,-2.715496,7.012872
0.002000,-0.294787,-2.542863,0.622259,0.078923,-3.037883,7.167452
0.004000,-0.293425,-2.543068,0.695955,-0.282293,-3.360270,7.322032
0.006000,-0.292049,-2.544395,0.678861,-0.885519,-3.682657,7.476612
0.008000,-0.290730,-2.546708,0.648060,-1.278966,-4.005044,7.631193
0.010000,-0.289469,-2.549404,0.620457,-1.353366,-4.327430,7.785773
0.012000,-0.288263,-2.551958,0.591920,-1.214555,-4.649817,7.940353
0.014000,-0.287121,-2.554132,0.557205,-1.010046,-4.972204,8.094933
0.016000,-0.286058,-2.555925,0.514943,-0.834894,-5.294591,8.249514
0.018000,-0.285088,-2.557438,0.466638,-0.716378,-5.616978,8.404094
0.020000,-0.284220,-2.558769,0.414625,-0.638243,-5.939364,8.558674
0.022000,-0.283457,-2.559952,0.361182,-0.557023,-6.043731,8.936340
0.024000,-0.282802,-2.560911,0.307122,-0.428499,-6.080959,9.382705
0.026000,-0.282259,-2.561585,0.249857,-0.281705,-6.118187,9.829070
0.028000,-0.281835,-2.561972,0.188252,-0.142399,-6.155415,10.275435
0.030000,-0.281541,-2.562098,0.122191,-0.017489,-6.192642,10.721800
0.032000,-0.281382,-2.561988,0.053545,0.097980,-6.229870,11.168165
0.034000,-0.281362,-2.561652,-0.016755,0.209935,-6.267098,11.614530
0.036000,-0.281488,-2.561090,-0.091468,0.324399,-6.304326,12.060895
0.038000,-0.281770,-2.560290,-0.171255,0.446585,-6.341553,12.507261
0.040000,-0.282217,-2.559233,-0.255107,0.578569,-6.378781,12.953626
0.042000,-0.282836,-2.557902,-0.342915,0.718182,-6.541945,13.365046
0.044000,-0.283638,-2.556294,-0.435935,0.855677,-6.817189,13.745367
0.046000,-0.284631,-2.554404,-0.533345,0.999716,-7.092432,14.125688
0.048000,-0.285823,-2.552211,-0.634623,1.156529,-7.367675,14.506010
0.050000,-0.287223,-2.549688,-0.739692,1.325821,-7.642919,14.886331
0.052000,-0.288838,-2.546814,-0.848586,1.504301,-7.918162,15.266652
0.054000,-0.290676,-2.543576,-0.961284,1.689046,-8.193405,15.646973
0.056000,-0.292743,-2.539961,-1.077684,1.878938,-8.468649,16.027294
0.058000,-0.295048,-2.535960,-1.197645,2.074364,-8.743892,16.407615
0.060000,-0.297597,-2.531560,-1.321030,2.276227,-9.019135,16.787936
0.062000,-0.300397,-2.526748,-1.447736,2.484157,-9.310081,17.065035
0.064000,-0.303454,-2.521562,-1.577349,2.652737,-9.638796,17.093862
0.066000,-0.306772,-2.516059,-1.707804,2.813749,-9.967510,17.122688
0.068000,-0.310351,-2.510196,-1.838293,3.006900,-10.296224,17.151515
0.070000,-0.314191,-2.503904,-1.969321,3.232434,-10.624938,17.180341
0.072000,-0.318295,-2.497139,-2.101608,3.473452,-10.953653,17.209168
0.074000,-0.322665,-2.489888,-2.235485,3.716119,-11.282367,17.237994
0.076000,-0.327305,-2.482155,-2.370874,3.956371,-11.611081,17.266821
0.078000,-0.332217,-2.473943,-2.507536,4.196705,-11.939796,17.295647
0.080000,-0.337404,-2.465245,-2.645275,4.440759,-12.268510,17.324474
0.082000,-0.342868,-2.456052,-2.784007,4.690370,-12.599010,17.355833
0.084000,-0.348611,-2.446350,-2.923974,4.949514,-12.958405,17.428155
0.086000,-0.354636,-2.436117,-3.065543,5.216844,-13.317800,17.500478
0.088000,-0.360945,-2.425347,-3.208738,5.486507,-13.677195,17.572801
0.090000,-0.367544,-2.414034,-3.353515,5.758301,-14.036590,17.645124
0.092000,-0.374433,-2.402174,-3.499837,6.034332,-14.395985,17.717446
0.094000,-0.381618,-2.389753,-3.647742,6.316267,-14.755379,17.789769
0.096000,-0.389100,-2.376761,-3.797338,6.604647,-15.114774,17.862092
0.098000,-0.396883,-2.363185,-3.948772,6.899412,-15.474169,17.934414
0.100000,-0.404972,-2.349011,-4.102211,7.200500,-15.833564,18.000000
0.102000,-0.413371,-2.334232,-4.257729,7.501661,-16.192959,18.000000
0.104000,-0.422082,-2.318850,-4.414428,7.806038,-16.387223,18.000000
0.106000,-0.431107,-2.302847,-4.571050,8.120153,-16.545920,17.993657
0.108000,-0.440446,-2.286209,-4.728645,8.437799,-16.704616,17.939772
0.110000,-0.450102,-2.268933,-4.887639,8.759421,-16.863312,17.885887
0.112000,-0.460078,-2.251003,-5.048395,9.089063,-17.022009,17.832003
0.114000,-0.470378,-2.232405,-5.211319,9.426221,-17.180705,17.778118
0.116000,-0.481007,-2.213124,-5.376784,9.769834,-17.339401,17.724233
0.118000,-0.491970,-2.193148,-5.545112,10.119755,-17.498098,17.670348
0.120000,-0.503274,-2.172463,-5.716617,10.476500,-17.656794,17.616464
0.122000,-0.514926,-2.151056,-5.891634,10.840756,-17.815491,17.562579
