계획(FF+PD)                    게인     h_plan    h_PD     F_τ     hip    knee
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
p25_a4_ilqr                  60_1.5_60_1.5   1.542   1.544   13.9%   10.2%   23.0%
p25_a4_ilqr                  90_1.5_90_2.5   1.542   1.540   15.2%   11.3%   24.9%
p25_a4_ilqr                  120_2_120_2   1.542   1.548   18.4%   13.0%   31.2%
p25_a4_ilqr                  120_2.2_150_2.5   1.542   1.546   19.7%   13.3%   34.3%
p25_a4_ilqr                  120_2.2_200_2.8   1.542   1.537   22.2%   13.9%   40.4%
p25_a4_ilqr                  150_2.2_250_3   1.542   1.538   25.6%   15.6%   47.0%
p25_a4_ilqr                  150_2.2_350_3.5   1.542   1.541   30.6%   17.0%   58.3%
p25_a4_ilqr                  150_2.2_500_4   1.542   1.538   36.5%   18.4%   71.3%
p25_a_cl_cma                 60_1.5_60_1.5   1.517   1.536   35.8%   38.9%   20.3%
p25_a_cl_cma                 90_1.5_90_2.5   1.517   1.516   41.2%   43.4%   31.7%
p25_a_cl_cma                 120_2_120_2   1.517   1.568   49.4%   54.5%   21.9%
p25_a_cl_cma                 120_2.2_150_2.5   1.517   1.560   51.5%   56.3%   26.6%
p25_a_cl_cma                 120_2.2_200_2.8   1.517   1.574   51.6%   56.2%   28.1%
p25_a_cl_cma                 150_2.2_250_3   1.517   1.577   55.1%   60.4%   27.7%
p25_a_cl_cma                 150_2.2_350_3.5   1.517   1.579   55.2%   60.3%   29.1%
p25_a_cl_cma                 150_2.2_500_4   1.517   1.577   55.1%   60.3%   28.5%
p25_a_clt                    60_1.5_60_1.5   0.803   0.791   15.1%   23.1%   10.4%
p25_a_clt                    90_1.5_90_2.5   0.803   0.757   19.8%   25.6%   17.0%
p25_a_clt                    120_2_120_2   0.803   0.767   15.7%   27.4%    6.9%
p25_a_clt                    120_2.2_150_2.5   0.803   0.763   16.6%   27.6%    9.1%
p25_a_clt                    120_2.2_200_2.8   0.803   0.768   16.2%   27.8%    7.7%
p25_a_clt                    150_2.2_250_3   0.803   0.762   16.5%   29.5%    5.8%
p25_a_clt                    150_2.2_350_3.5   0.803   0.768   16.3%   29.6%    4.5%
p25_a_clt                    150_2.2_500_4   0.803   0.774   16.5%   29.7%    5.3%
p25_a_mppi                   60_1.5_60_1.5   1.018   1.032    4.6%    7.2%    4.0%
p25_a_mppi                   90_1.5_90_2.5   1.018   1.032    4.6%    7.5%    3.9%
p25_a_mppi                   120_2_120_2   1.018   1.032    4.7%    7.4%    4.1%
p25_a_mppi                   120_2.2_150_2.5   1.018   1.032    4.6%    7.5%    4.0%
p25_a_mppi                   120_2.2_200_2.8   1.018   1.032    4.7%    7.6%    4.0%
p25_a_mppi                   150_2.2_250_3   1.018   1.031    4.5%    7.4%    3.8%
p25_a_mppi                   150_2.2_350_3.5   1.018   1.029    4.6%    7.4%    4.0%
p25_a_mppi                   150_2.2_500_4   1.018   1.028    4.9%    7.9%    4.2%
p25_a_ol_cma                 60_1.5_60_1.5   1.251   1.265   24.0%   21.7%   32.6%
p25_a_ol_cma                 90_1.5_90_2.5   1.251   1.264   24.8%   22.2%   33.9%
p25_a_ol_cma                 120_2_120_2   1.251   1.264   27.6%   22.9%   42.7%
p25_a_ol_cma                 120_2.2_150_2.5   1.251   1.263   28.9%   22.9%   47.2%
p25_a_ol_cma                 120_2.2_200_2.8   1.251   1.262   32.2%   22.9%   57.2%
p25_a_ol_cma                 150_2.2_250_3   1.251   1.263   35.7%   23.6%   66.6%
p25_a_ol_cma                 150_2.2_350_3.5   1.251   1.266   42.5%   22.4%   86.1%
p25_a_ol_cma                 150_2.2_500_4   1.251   1.268   51.4%   22.9%  107.9%
p25_b_traj                   60_1.5_60_1.5   1.128   1.143   11.2%    3.8%   13.4%
p25_b_traj                   90_1.5_90_2.5   1.128   1.181   16.6%    5.8%   20.0%
p25_b_traj                   120_2_120_2   1.128   1.203   19.1%    7.0%   23.0%
p25_b_traj                   120_2.2_150_2.5   1.128   1.234   23.6%    7.6%   28.5%
p25_b_traj                   120_2.2_200_2.8   1.128   1.281   30.3%    8.8%   36.7%
p25_b_traj                   150_2.2_250_3   1.128   1.306   32.8%   10.7%   39.6%
p25_b_traj                   150_2.2_350_3.5   1.128   1.327   39.0%   14.9%   46.7%
p25_b_traj                   150_2.2_500_4   1.128   1.343   98.9%   61.5%  202.6%
p25_c_ppo                    60_1.5_60_1.5   1.319   1.321    5.7%    7.1%    4.2%
p25_c_ppo                    90_1.5_90_2.5   1.319   1.324    6.0%    7.4%    4.3%
p25_c_ppo                    120_2_120_2   1.319   1.324    6.4%    8.0%    4.6%
p25_c_ppo                    120_2.2_150_2.5   1.319   1.325    6.4%    7.9%    4.7%
p25_c_ppo                    120_2.2_200_2.8   1.319   1.327    6.4%    7.8%    4.9%
p25_c_ppo                    150_2.2_250_3   1.319   1.328    6.6%    8.1%    4.9%
p25_c_ppo                    150_2.2_350_3.5   1.319   1.325    6.0%    7.7%    4.0%
p25_c_ppo                    150_2.2_500_4   1.319   1.327    5.8%    7.5%    3.9%
