계획(FF+PD)                    게인     h_plan    h_PD     F_τ     hip    knee
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
p25_a4_ilqr_t18              60_1.5_60_1.5   1.388   1.385   14.8%   10.7%   23.7%
p25_a4_ilqr_t18              90_1.5_90_2.5   1.388   1.387   16.4%   12.1%   26.1%
p25_a4_ilqr_t18              120_2_120_2   1.388   1.384   19.9%   13.9%   32.7%
p25_a4_ilqr_t18              120_2.2_150_2.5   1.388   1.384   21.4%   14.3%   36.1%
p25_a4_ilqr_t18              120_2.2_200_2.8   1.388   1.384   24.7%   15.2%   43.2%
p25_a4_ilqr_t18              150_2.2_250_3   1.388   1.384   28.5%   17.1%   50.3%
p25_a4_ilqr_t18              150_2.2_350_3.5   1.388   1.386   33.7%   18.4%   61.4%
p25_a4_ilqr_t18              150_2.2_500_4   1.388   1.388   40.2%   20.3%   74.8%
p25_a4_ilqr_t18_strict       60_1.5_60_1.5   1.387   1.389   14.8%   10.7%   23.7%
p25_a4_ilqr_t18_strict       90_1.5_90_2.5   1.387   1.393   16.4%   12.1%   26.1%
p25_a4_ilqr_t18_strict       120_2_120_2   1.387   1.390   19.9%   13.9%   32.7%
p25_a4_ilqr_t18_strict       120_2.2_150_2.5   1.387   1.388   21.4%   14.3%   36.1%
p25_a4_ilqr_t18_strict       120_2.2_200_2.8   1.387   1.391   24.7%   15.2%   43.2%
p25_a4_ilqr_t18_strict       150_2.2_250_3   1.387   1.394   28.5%   17.1%   50.3%
p25_a4_ilqr_t18_strict       150_2.2_350_3.5   1.387   1.392   33.7%   18.4%   61.4%
p25_a4_ilqr_t18_strict       150_2.2_500_4   1.387   1.393   40.2%   20.3%   74.8%
p25_a_cl_cma_t18             60_1.5_60_1.5   1.388   1.378   28.9%   40.5%   17.2%
p25_a_cl_cma_t18             90_1.5_90_2.5   1.388   1.370   35.0%   44.6%   26.8%
p25_a_cl_cma_t18             120_2_120_2   1.388   1.415   39.6%   57.2%   20.8%
p25_a_cl_cma_t18             120_2.2_150_2.5   1.388   1.409   42.1%   59.2%   24.9%
p25_a_cl_cma_t18             120_2.2_200_2.8   1.388   1.424   42.9%   58.9%   27.4%
p25_a_cl_cma_t18             150_2.2_250_3   1.388   1.426   45.7%   63.3%   28.5%
p25_a_cl_cma_t18             150_2.2_350_3.5   1.388   1.429   47.0%   63.0%   32.1%
p25_a_cl_cma_t18             150_2.2_500_4   1.388   1.435   48.2%   62.8%   35.3%
p25_a_mppi_t18               60_1.5_60_1.5   1.077   1.090    5.9%    8.7%    5.0%
p25_a_mppi_t18               90_1.5_90_2.5   1.077   1.091    5.7%    8.8%    4.7%
p25_a_mppi_t18               120_2_120_2   1.077   1.091    5.7%    8.5%    4.8%
p25_a_mppi_t18               120_2.2_150_2.5   1.077   1.091    5.6%    8.5%    4.7%
p25_a_mppi_t18               120_2.2_200_2.8   1.077   1.089    5.6%    8.4%    4.8%
p25_a_mppi_t18               150_2.2_250_3   1.077   1.087    5.8%    8.5%    4.9%
p25_a_mppi_t18               150_2.2_350_3.5   1.077   1.084    6.1%    8.6%    5.4%
p25_a_mppi_t18               150_2.2_500_4   1.077   1.087    6.7%    9.1%    6.0%
p25_a_ol_cma_t18             60_1.5_60_1.5   1.148   1.160   17.6%   29.4%   17.0%
p25_a_ol_cma_t18             90_1.5_90_2.5   1.148   1.159   17.2%   32.6%   16.4%
p25_a_ol_cma_t18             120_2_120_2   1.148   1.158   18.5%   35.7%   17.6%
p25_a_ol_cma_t18             120_2.2_150_2.5   1.148   1.156   18.5%   35.5%   17.6%
p25_a_ol_cma_t18             120_2.2_200_2.8   1.148   1.156   19.1%   35.6%   18.2%
p25_a_ol_cma_t18             150_2.2_250_3   1.148   1.156   20.2%   39.2%   19.1%
p25_a_ol_cma_t18             150_2.2_350_3.5   1.148   1.159   21.8%   39.3%   20.9%
p25_a_ol_cma_t18             150_2.2_500_4   1.148   1.161   24.7%   37.1%   24.1%
p25_b_traj_t18               60_1.5_60_1.5   1.070   1.082   11.4%    4.8%   13.8%
p25_b_traj_t18               90_1.5_90_2.5   1.070   1.121   17.4%    6.9%   21.0%
p25_b_traj_t18               120_2_120_2   1.070   1.140   20.2%    8.5%   24.4%
p25_b_traj_t18               120_2.2_150_2.5   1.070   1.168   24.3%    8.8%   29.5%
p25_b_traj_t18               120_2.2_200_2.8   1.070   1.205   30.0%    9.8%   36.6%
p25_b_traj_t18               150_2.2_250_3   1.070   1.227   31.9%   11.6%   38.7%
p25_b_traj_t18               150_2.2_350_3.5   1.070   1.241   37.9%   15.4%   45.7%
p25_b_traj_t18               150_2.2_500_4   1.070   1.250   41.8%   19.2%   50.1%
p25_c_ppo_best_t18           60_1.5_60_1.5   1.246   1.246    3.9%    4.2%    3.7%
p25_c_ppo_best_t18           90_1.5_90_2.5   1.246   1.248    4.0%    4.4%    3.7%
p25_c_ppo_best_t18           120_2_120_2   1.246   1.249    4.2%    4.7%    3.8%
p25_c_ppo_best_t18           120_2.2_150_2.5   1.246   1.250    4.2%    4.7%    3.8%
